iter	Passed	Remaining
480	691	746
481	692	744
482	694	742
483	695	741
484	696	739
485	698	738
486	699	737
487	701	735
488	702	734
489	703	732
490	705	731
491	707	730
492	708	728
493	709	726
494	710	725
495	712	723
496	713	722
497	715	720
498	716	719
499	717	717
500	719	716
501	720	715
502	722	714
503	724	712
504	726	711
505	727	710
506	729	709
507	730	707
508	731	706
509	734	705
510	735	704
511	736	702
512	739	701
513	740	700
514	742	699
515	743	697
516	745	696
517	746	694
518	747	692
519	748	691
520	750	689
521	753	690
522	755	688
523	756	687
524	757	685
525	759	684
526	760	682
527	761	681
528	763	679
529	764	678
530	765	676
531	767	674
532	768	673
533	770	672
534	771	670
535	773	669
536	774	667
537	776	666
538	778	665
539	780	664
540	781	662
541	782	661
542	784	659
543	785	658
544	786	656
545	788	655
546	789	653
547	790	652
548	792	650
549	793	649
550	795	648
551	796	646
552	797	644
553	799	643
554	800	641
555	801	640
556	804	639
557	805	637
558	806	636
559	807	634
560	809	633
561	810	631
562	812	630
563	813	628
564	814	627
565	815	625
566	817	624
567	818	622
568	819	620
569	821	619
570	822	617
571	824	616
572	825	614
573	827	614
574	829	613
575	830	611
576	832	610
577	833	608
578	834	607
579	836	605
580	838	604
581	839	603
582	841	601
583	842	600
584	844	598
585	845	597
586	846	595
587	848	594
588	850	593
589	851	591
590	852	590
591	854	588
592	855	586
593	857	586
594	859	584
595	860	583
596	862	582
597	864	580
598	865	579
599	866	577
600	868	576
601	869	574
602	870	573
603	872	571
604	873	570
605	875	568
606	876	567
607	878	566
608	879	564
609	881	563
610	882	562
611	884	560
612	885	559
613	887	557
614	888	556
615	889	554
616	890	552
617	892	551
618	893	550
619	895	548
620	897	547
621	898	546
622	899	544
623	900	542
624	902	541
625	904	540
626	905	538
627	906	537
628	908	535
629	909	534
630	910	532
631	912	531
632	913	529
633	915	528
634	916	526
635	917	525
636	919	523
637	920	522
638	921	520
639	923	519
640	924	517
641	925	516
642	927	514
643	928	513
644	929	511
645	930	509
646	931	508
647	933	507
648	935	505
649	936	504
650	937	502
651	939	501
652	940	499
653	942	498
654	943	496
655	944	495
656	945	493
657	947	492
658	948	491
659	950	489
660	952	488
661	953	486
662	954	485
663	956	483
664	957	482
665	958	480
666	960	479
667	961	477
668	963	476
669	964	475
670	965	473
671	967	472
672	968	470
673	969	469
674	971	467
675	972	466
676	974	464
677	976	463
678	977	462
679	978	460
680	980	459
681	981	457
682	982	456
683	984	454
684	985	453
685	986	451
686	988	450
687	989	448
688	990	447
689	992	445
690	994	444
691	995	443
692	997	442
693	999	440
694	1000	439
695	1001	437
696	1003	436
697	1004	434
698	1006	433
699	1007	431
700	1008	430
701	1010	428
702	1011	427
703	1012	425
704	1014	424
705	1015	422
706	1016	421
707	1017	419
708	1018	418
709	1020	416
710	1021	415
711	1022	413
712	1024	412
713	1026	411
714	1027	409
715	1028	408
716	1031	406
717	1032	405
718	1034	404
719	1035	402
720	1036	401
721	1039	400
722	1040	398
723	1041	397
724	1043	395
725	1044	394
726	1046	393
727	1048	391
728	1049	390
729	1050	388
